title,company,location,summary
Data Scientist,ModivCare,"Denver, CO 80237 (Southeastern Denver area)","Good data visualization and communication skills.
This will include preparing and delivering presentations with rich data visualizations and meaningful business…"
Data Scientist,TikTok,"Mountain View, CA","Knowledge in basic machine learning and deep learning;
The team is made up of machine learning researchers and engineers, who support and innovate on production…"
"data scientist - Seattle, WA or remote",Starbucks,"Seattle, WA 98134 (Industrial District area)","In this role, you’ll leverage statistical analysis, time series methods, machine learning, product development, data visualization, and storytelling."
Data Scientist,RADcube,"Indianapolis, IN","Interprets data and from multiple sources using a variety of analytical techniques, ranging from simple data aggregation to data mining, to more complex…"
Jr. Data Scientist,Credit Suisse,"Raleigh, NC","In your role, you will build high performance machine learning solutions using cutting edge ML and Big Data technology."
Data Scientist - TS/SCI,KBR,"Colorado Springs, CO 80916 (Southeast Colorado Springs area)","Define and manage standards, guidelines, and processes to ensure data quality, including the production of data dictionaries & standards."
Data Scientist,Quicken Loans,"Detroit, MI 48226 (Downtown area)","Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products."
Data Scientist,ASML,"San Diego, CA 92127 (Rancho Bernardo area)","Assist in providing machine learning expertise and implementation of big data techniques (PySpark), and ensure compliance with technical specifications."
Data Scientist I,Windstream Communications,Remote,"You will also be responsible for acquisition of data sources, automation of work flows (including scoring), and working with the business on machine learning…"
Data Scientist,IntelliGen Technologies,Remote,"Location: Remote Country: US The role: Genus plc is a market leader in porcine, dairy, and beef genetics and is uniquely positioned as a global player with…"
Data Scientist - Entry Level,Numerdox,"Sacramento, CA","You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics."
Data Scientist,IBM,"Austin, TX 73301 (St Edwards area)","Select a suitable tool for the analytics solution or working with data.
Broad and deep data and analytics skills such classification, communication, creativity,…"
"Data Scientist, Podcasts",Spotify,"Los Angeles, CA","Conduct analysis of large datasets, extracting insights from user listening data that will drive content decision-making."
Data Scientist,Kaplan,Remote,"Improving our data engineering and workflow.
At least 1 year of solid data science industry experience.
Metis Data Scientists provide incredible and inspiring…"
Data Scientist 1,Oracle,"Burlington, MA","We’re seeking driven, articulate, and energetic data gurus with the ability to extract insights from data and support development of deployable machine learning…"
